index,comment,sentiment scores,date
11,Wee Low they dont like to read. they love to comments,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the government is considering this move to help retirees manage their savings more wisely and secure long-term income after they stop working. the article provides information on the current epf withdrawal rules and the strong returns delivered by the fund in 2024. overall, the tone of the article is neutral, providing factual information about the potential change to the epf system without expressing a clear opinion or bias.",2025-07-31 13:54:59+00:00
12,"Wee Low I don't understand. Since now we already have a choice to withdraw all or monthly. Why does the government highlight  this ? Why I read is account 55 split into 2 accounts one can withdraw all, and one only takes monthly. We don't have a choice like your current one","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the government is considering this move to help retirees manage their savings more wisely and secure long-term income after they stop working. the article provides information on the current epf withdrawal rules and the potential benefits of the proposed change. overall, the tone of the article is neutral, providing factual information without expressing a clear opinion or bias.",2025-07-31 14:05:23+00:00
13,"Zam Aziz Not don’t like to read . They read. But they don’t want to understand it. Just want to hentam & think -ve eg gomen no money . Want to take our money in epf, it’s our money, why gomen want to control what belongs to us . It is our money etc.","sentiment: negative

explanation: the sentiment of the text is negative because it expresses concerns about the government's proposal to introduce monthly pension payouts for epf members. the author seems to be against the idea, suggesting that it could limit the freedom of retirees to manage their savings as they see fit. the use of words such as ""control"" and ""restrictions"" also implies a negative sentiment towards the proposed changes. additionally, the author highlights the potential drawbacks of the proposal, such as reducing the amount of money that retirees can withdraw, which could be seen as a negative aspect. overall, the tone of the text is critical of the government's plan and expresses a negative sentiment towards it.",2025-07-31 14:21:46+00:00
14,"Isaac Tsen where got mentioned acc 55 split into 2 ? It just mentioned retirement split into 2 - an addition. Maybe it is acc emas when you reach retirement. Wait for more detail lah . Don’t kan cheong.  Even if they said like a pension where retirees get monthly amounts from EPF , it is not a bad idea.","sentiment: neutral

explanation: the sentiment of the text is neutral as it provides information about a potential change in the employees provident fund (epf) withdrawal rules without expressing any strong opinions or biases. the language used is factual and informative, providing details about the proposal to divide epf contributions into two parts for retirement savings and monthly pension payments. the text also mentions the current withdrawal rules and the strong returns delivered by the epf in 2024, but does not express any emotion or subjective opinions. overall, the tone is objective and neutral, providing a factual overview of the proposed changes to the epf system.",2025-07-31 14:25:09+00:00
15,Wee Low I read both Chinese and English alao. Maybe o got it wrong. But Chinese newspaper and goole news also said split out money into 2 account. You try Google the news and see. I also want to clarify. Coz this decide if continue vote the current government or opposition party,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article provides information on the current epf withdrawal rules and the strong returns delivered by the fund in 2024. overall, the tone of the article is neutral, providing factual information about the potential change to the epf system without expressing a clear opinion or bias.",2025-07-31 14:29:19+00:00
16,"Wee Low For my case on Malaysia , I need the money to support my children university . If they only withdraw portion, not all, it  will affect me a lot .","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a 6.3% dividend return for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any opinion or bias.",2025-07-31 14:34:17+00:00
17,Isaac Tsen wait for more details. I think you can take out money from epf for children education now. Go & apply lah.,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any opinion or bias.",2025-07-31 14:41:52+00:00
18,"Wee Low Hi, you mean it is OK if we take the full amount? It is not mandatory, right?","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any opinion or bias.",2025-07-31 15:12:47+00:00
19,"Wee Low Chinese paper said new scheme is to REPLACE the exiting scheme  (allow fully withdraw). 

I surely hope the news is incorrect . Or else all of our life hard earn money will be gone the best case scenario, 50% gone.

Already so old. Can't migrates also. Who wan old man like us. 

Have to wait for next election to bring down this government, hoping next government will abolish this","sentiment: negative

explanation: the author of the article expresses negative sentiment towards the proposed change in the employees provident fund (epf) retirement plan. they suggest that the new scheme may replace the existing one, which allows for full withdrawal at age 55, and that this could result in retirees losing a significant portion of their savings. the author also expresses concern about the potential impact on older retirees who may not be able to migrate or work in other countries due to their age. overall, the tone is critical of the proposed change and worried about its potential consequences for retirees.",2025-07-31 16:51:30+00:00
20,"Wee Low lamsum out for business and put back in. Profit profit. But now if they forces everyone to only monthly, that'll be troublesome when it comes to liquidity. Like gate keeping our money. 60yo can't do business anymore, 55 still have chance","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. while some people may view this as a positive move, others may be neutral or have mixed feelings about it. on one hand, receiving monthly payments could provide more financial stability for retirees, especially those who may not have a lot of experience managing their savings. on the other hand, some people may prefer to have more control over their savings and may view the monthly payments as a form of ""gate keeping"" their money. overall, the sentiment of the article is neutral, as it presents both sides of the argument and does not express a clear opinion or bias.",2025-07-31 17:12:48+00:00
21,"Terry Lew that is for voluntariness, this is for mandatory","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income. while the article provides some details about the potential changes, it does not express a clear opinion or emotion. therefore, the sentiment of the text is neutral.",2025-07-31 15:46:13+00:00
22,Aloysius Chia ya …I will against it if it turns the current practice to Mandatory!,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income. while the article provides some details about the potential changes, it does not express a clear opinion or emotion. therefore, the sentiment of the text is neutral.",2025-08-01 11:46:33+00:00
23,"The question I ask myself is after withdrawing all, where to keep it then? I will just spend it away faster. It makes sense if we are given a choice to withdraw all or prefer it monthly.","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. while the article provides some details about the potential changes, it does not express a clear opinion or emotion. therefore, the sentiment of the text is neutral.",2025-08-01 00:00:59+00:00
24,"Honestly I think KWSP shd give members options to choose instead of mandatory.

Not everybody have same financial direction.

Moreover, this is members life saving...members shd have the option to start enjoy life, not wait till die also cannot enjoy life saving, not everybody can live up to Age 80","sentiment: neutral

explanation: the author of the article is presenting a balanced view of the proposed changes to the employees provident fund (epf) in malaysia. while some may see the move as positive, others may have concerns about the mandatory nature of the monthly pension payments. the author acknowledges both perspectives and provides information on the potential benefits and drawbacks of the proposed changes. overall, the tone is neutral and informative, without expressing a strong opinion for or against the changes.",2025-08-01 07:47:41+00:00
25,They can try and see how much deposits will remain.....😅 hahaha,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the proposal is under review and that current epf withdrawal rules allow members to fully withdraw their savings when they turn 55. overall, the tone of the article is neutral, providing information about the potential change without expressing a clear opinion or bias.",2025-08-03 04:33:40+00:00
26,Sounds like gomen not enough money to go around 🫢,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while the article provides some details about the potential changes, it does not express a clear opinion or emotion. therefore, the sentiment of the text is neutral.",2025-08-03 14:25:55+00:00
27,The retirees will have the obtion and not EPF. EPF must be aware it is their money and choice.,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the proposal involves dividing epf contributions into two parts - one for a retirement lump sum and another for monthly pension payments. overall, the tone of the article is neutral, providing information about the potential changes without expressing any strong opinions or biases.",2025-07-31 14:43:48+00:00
28,"In my opinion, first of all, it shows govt did not have sufficient fund, secondly, you can't decide what to do with contributors money as a provident in which the lump sum money is to providednto each contributors when they are retired.","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while the proposal is still under review, it is presented as a potential improvement to the current epf system. overall, the tone of the article is neutral, providing information about the possible change without expressing a clear opinion or bias.",2025-07-31 18:17:12+00:00
29,"Cannot lah..want to buy cash for Honda Civic Type R, Harley Davidson Road Glide , SL8 Specialized RB and makan makan steak every week
..😅","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a 6.3% dividend return for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any opinion or bias.",2025-08-01 01:48:54+00:00
30,"I say the best option is by offering options for the retirees, to take or keep growing more interest.","sentiment: positive

explanation: the article discusses a potential change to the employees provident fund (epf) that would allow retirees to receive monthly pension payments in addition to the existing lump-sum withdrawal option. this move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the proposal involves dividing epf contributions into two parts - one for a retirement lump sum and another for monthly pension payments. this setup would let retirees withdraw part of their savings while still receiving monthly support from the pension portion. the article highlights that the epf delivered strong returns in 2024, with a 6.3% dividend return for both conventional and shariah accounts. overall, the article presents a positive outlook on the potential changes to the epf and the benefits it could bring to retirees.",2025-08-01 03:54:01+00:00
31,"Our EPF contribution is our money and we should decide what & how to used it. 
From the earlier day, since we started working and we being told to contribute (compulsory) to our account for retirement purpose and able to withdraw at the age of 55 for All EPF accounts or we can opt for partial depend on our preference once 55. 
Now if under RMK 13 announcement, we need to be lock in a portion of the sum which is unjust to contributors as the original terms and / or conditions was not as it is. 
As a government of the day, u might be able to enact laws or bills but it seem like it has go against the origin intention of setting up EPF on the conditions that able to withdraw all the sum if contributors want to excise their particular right and / or option. 
If the reason(s) that want to help to set aside portion of the sum upon 55 for helping to get monthly income for contributors, it should not make it across the board whether u look like very caring in this issue. 
Emphasis is it should be the options of the contributors and the original conditions when contributors started contribution ages ago that is at the age of 55 contributors have the options. 
Furthermore, some contributors might have better idea how to use the money in investment which return will be higher then the fund given so far as they have their financial literacy o know how and etc. 
Strongly emphasis option be in the hand of contributors or account hold of EPF on what to do with the fund not by government dictate what and how the fund going to be used. 
That is contributors ENTIRE or MAJORITY part of their future Finance","sentiment: negative

explanation: the author of the article is expressing negative sentiment towards the proposed change to the employees provident fund (epf) retirement plan. they argue that the government's proposal to introduce monthly pension payouts in addition to the existing lump-sum option would be unjust and go against the original terms and conditions of the epf. the author emphasizes that contributors should have the options and freedom to decide how to use their own savings, rather than having the government dictate how the funds should be used. they also suggest that some contributors may have better financial literacy and investment ideas that could yield higher returns than the proposed monthly pension payments. overall, the author is opposed to the government's proposal and believes it would be a step backward for epf contributors.",2025-08-01 04:54:02+00:00
32,"Maybe something like allowing 50% on whole and the balance on the monthly pay out… Use the 50% to settle all the debts and enjoy a bit and the balance to get monthly survival…. But of course , need to have good balance in the account for this to happen….","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, which may introduce monthly pension payouts in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change and the epf's performance without expressing any clear opinion or bias.",2025-08-01 09:33:30+00:00
33,"Jun Hong please after i 55year i just want to withdraw all my epf money, i do not agree monthly pay out.","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any opinion or bias.",2025-07-31 17:26:55+00:00
34,"😂😂😂, EPF gives out dividend yearly, whereas other funds gives dividends monthly or some daily... power of compounding. Please understand","sentiment: positive

explanation: the article discusses a potential change to the employees provident fund (epf) that could provide retirees with a more stable and secure source of income. the proposal would divide epf contributions into two parts, allowing retirees to withdraw part of their savings while still receiving monthly pension payments. this move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also highlights the strong returns delivered by the epf in 2024, which could indicate a positive outlook for the fund's performance in the future. overall, the sentiment of the article is positive as it discusses potential improvements to the epf and its benefits for retirees.",2025-07-31 17:53:05+00:00
35,Jun Hong keep the option open is best in my opinion,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any clear opinion or bias.",2025-07-31 18:45:04+00:00
36,"Jun Hong if this is set to limited withdrawal and compulsory by law, EPF may lower the dividends or interest pay to accounts. Madani not a stupid govt. They running country like syarikat Sdn. Bhd. 

Worse still if PN or PAS elected, rakyat withdrawal is limited while they dig all our money.","sentiment: negative

explanation: the author of the article is expressing a negative sentiment towards the proposed change in epf withdrawal rules. they suggest that limiting withdrawals to monthly payouts could result in lower dividends or interest payments for account holders, and that the government's move may be motivated by a desire to ""dig all our money"" rather than serve the best interests of retirees. the author also implies that the government is not acting in the best interests of the people, but rather like a private company (syarikat sdn. bhd.) looking to maximize profits.",2025-07-31 23:25:46+00:00
37,"Hayati Ramli no need to answer your questions, if you're not happy bring a lawyer to sue me ! Who are you ?","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article provides information about the current epf withdrawal rules and the strong returns delivered by the fund in 2024. overall, the tone of the article is neutral, providing factual information without expressing a clear opinion or bias.",2025-07-31 23:52:54+00:00
38,"Jun Hong it is optional because there is a setting that allow the retirees to perform monthly withdrawal to their account.

I totally disagree that the monthly withdrawal be determined by the management instead of the retiree alone..

When it becomes a policy, it creates a hurdle for withdrawal. Imagine in emergencies cases such as medical needs, what would happen..","sentiment: negative

explanation: the author of the article is negative about the proposed change to the employees provident fund (epf) as it would limit the retirees' freedom to withdraw their savings as they see fit. the author argues that in emergency situations such as medical needs, the monthly pension payments might not be enough and could create hurdles for withdrawal. the author also mentions that the current epf withdrawal rules allow members to fully withdraw their savings when they turn 55, which is a more flexible option compared to the proposed monthly pension payments. overall, the author is against the proposed change as it would restrict the retirees' autonomy and flexibility in managing their savings.",2025-08-01 01:53:13+00:00
39,Master Audit i think there should be exemption on withdrawal for medical purposes but enough or not is another question ;),"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income. while the proposal is still under review, the article highlights the current epf withdrawal rules and the strong returns delivered by the fund in 2024. overall, the tone of the article is neutral, providing information on the potential changes without expressing a clear opinion or bias.",2025-08-01 02:26:36+00:00
40,"Jun Hong Same thinking but should be optional and not mandatory. End of the day its our money, you mampus your pasal scenario so to all out there think and choose wisely la.","sentiment: neutral

explanation: the sentiment of the statement ""jun hong same thinking but should be optional and not mandatory. end of the day its our money, you mampus your pasal scenario so to all out there think and choose wisely la."" is neutral. the speaker seems to be expressing a balanced view on the proposed change to the employees provident fund (epf) withdrawal rules. they acknowledge that the existing lump-sum withdrawal method has its benefits, but also recognize the potential advantages of a monthly pension payout system. the speaker emphasizes the importance of considering one's own financial situation and goals before making any decisions. overall, the tone is constructive and encourages careful consideration rather than taking a firm stance for or against the proposed change.",2025-08-01 02:59:17+00:00
41,S'pore IB,"sentiment of ""s'pore ib"" based on the title and content is neutral.

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, which may introduce monthly pension payouts in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions the current epf withdrawal rules and the strong returns delivered by the fund in 2024. overall, the tone of the article is informative and neutral, providing information about the potential change without expressing any clear opinion or bias.",2025-08-01 04:44:56+00:00
42,Master Audit yes what happen to those need money to helping their children sturdy or paying off housing loan.,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the proposal involves dividing epf contributions into two parts — one for a retirement lump sum and another for monthly pension payments. overall, the tone of the article is neutral, providing information about the potential change without expressing any strong opinions or biases.",2025-08-01 10:04:03+00:00
43,Gary Chan hello this is merely an additional option to the lump sum withdrawal. What r u so angry abt?,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the government is considering this move to help retirees better manage their savings and secure long-term income. the article also mentions that the epf delivered strong returns in 2024, with a 6.3% dividend return for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any strong opinions or biases.",2025-07-31 13:18:40+00:00
44,Gary Chan indeed...,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the tone of the article is neutral, providing information about the potential change to the epf and its performance in 2024 without expressing any clear opinion or bias.",2025-07-31 13:22:20+00:00
45,Gary Chan can make an option,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where members may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the government is considering dividing epf contributions into two parts - one for a retirement lump sum and another for monthly pension payments. however, there is no clear indication of whether this proposal will be implemented or how it may affect epf members. overall, the tone of the article is neutral, providing information on the potential change without expressing any strong opinions or biases.",2025-07-31 13:29:57+00:00
46,“This would be in addition to the existing lump-sum withdrawal method.” If you clicked the article to read it’s literally in the sub-header. Yeah try clicking and reading the article instead of getting baited just by the article title itself.,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article provides information on the current epf withdrawal rules and the proposal under review, but does not express a clear opinion or emotion. therefore, the sentiment of the article is neutral.",2025-07-31 15:37:33+00:00
47,"Gary Chan got 2 acct la bro. 1 the retoremwnt which cannot withdraw, another is acct 2 which we can withdraw to settle all loans. I kinda agree. Too many scammers especially live scam. Imagine getting divorce at 60 and u have to pay 50% of your assets to your ex? This is to protect you.","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, which may introduce monthly pension payouts in addition to the existing lump-sum withdrawal method. the proposal aims to help retirees manage their savings more wisely and secure long-term income after they stop working. the article also mentions that the epf delivered strong returns in 2024, with a dividend return of 6.3% for both conventional and shariah accounts. overall, the article presents factual information about the potential change to the epf and its performance, without expressing any clear opinion or emotion. therefore, the sentiment of the article is neutral.",2025-08-04 14:12:12+00:00
48,"Apai Bo Pillai valid point. 1mdb for example. But that's a rare case. Awareness is there la bro. No matter how much awareness campaign u spent, at the end of the they those people will go to gov authorities, polis, sprm bla bla bla.. Then when they cannot help, they blame the gov. So things like this, need to have gov intervention. Cannot leave it at individual level.
There's nothing u loss if they hold your money. U are still getting your money monthly WITH DIVIDEN. Sorry, but I kinda agree with the gov on this. I am atas pagar, not pro any party, most of the gov decision so far was like taik u know, but this idea is good for Malaysian and the country.
It's hard to swallow but it is for the best.","based on the content provided, i would rate the sentiment as neutral. the author seems to be presenting a balanced view of the proposed change to the employees provident fund (epf) withdrawal rules. while they acknowledge that the move could be beneficial for retirees in managing their savings, they also mention that it may not be the best solution for everyone and that there could be drawbacks.

the author's explanation provides some context and reasons behind the government's proposal, such as the desire to help retirees secure long-term income and manage their savings more wisely. however, they also mention that the proposal is still under review and that there may be other factors to consider. overall, the tone of the text is informative and objective, rather than overtly positive or negative.",2025-08-05 08:57:54+00:00
